"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Nova Scotia","2016A000212","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132678","5.26.6.2","22.8","C","","","1"
"2021","Nova Scotia","2016A000212","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132678","5.26.6.2","26.1","D","","","1"
"2015","Nova Scotia","2016A000212","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132687","5.29.6.2","28.0","D","","","1"
"2016","Nova Scotia","2016A000212","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132687","5.29.6.2","21.9","D","","","1"
"2017","Nova Scotia","2016A000212","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132687","5.29.6.2","18.0","D","","","1"
"2018","Nova Scotia","2016A000212","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132687","5.29.6.2","23.3","D","","","1"
"2019","Nova Scotia","2016A000212","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132687","5.29.6.2","17.1","D","","","1"
"2020","Nova Scotia","2016A000212","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132687","5.29.6.2","12.6","D","","","1"
"2021","Nova Scotia","2016A000212","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132687","5.29.6.2","23.7","D","","","1"
"2015","Nova Scotia","2016A000212","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132696","5.32.6.2","44.2","C","","","1"
"2016","Nova Scotia","2016A000212","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132696","5.32.6.2","41.7","C","","","1"
"2017","Nova Scotia","2016A000212","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132696","5.32.6.2","40.6","C","","","1"
"2018","Nova Scotia","2016A000212","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132696","5.32.6.2","38.5","C","","","1"
"2019","Nova Scotia","2016A000212","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132696","5.32.6.2","38.1","D","","","1"
"2020","Nova Scotia","2016A000212","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132696","5.32.6.2","28.2","D","","","1"
"2021","Nova Scotia","2016A000212","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132696","5.32.6.2","27.3","D","","","1"
"2015","New Brunswick","2016A000213","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132705","6.1.6.2","16.2","C","","","1"
"2016","New Brunswick","2016A000213","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132705","6.1.6.2","13.9","C","","","1"
"2017","New Brunswick","2016A000213","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132705","6.1.6.2","12.6","C","","","1"
"2018","New Brunswick","2016A000213","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132705","6.1.6.2","10.8","C","","","1"
"2019","New Brunswick","2016A000213","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132705","6.1.6.2","9.9","D","","","1"
"2020","New Brunswick","2016A000213","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132705","6.1.6.2","7.6","C","","","1"
"2021","New Brunswick","2016A000213","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132705","6.1.6.2","6.7","C","","","1"
"2015","New Brunswick","2016A000213","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132708","6.2.6.2","19.9","E","","","1"
"2016","New Brunswick","2016A000213","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132708","6.2.6.2","16.4","D","","","1"
"2017","New Brunswick","2016A000213","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132708","6.2.6.2","15.5","D","","","1"
"2018","New Brunswick","2016A000213","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132708","6.2.6.2","11.9","D","","","1"
"2019","New Brunswick","2016A000213","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132708","6.2.6.2","12.4","E","","","1"
"2020","New Brunswick","2016A000213","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132708","6.2.6.2","6.1","E","","","1"
"2021","New Brunswick","2016A000213","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132708","6.2.6.2","7.2","E","","","1"
"2015","New Brunswick","2016A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132711","6.3.6.2","16.6","C","","","1"
"2016","New Brunswick","2016A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132711","6.3.6.2","14.3","C","","","1"
"2017","New Brunswick","2016A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132711","6.3.6.2","13.8","C","","","1"
"2018","New Brunswick","2016A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132711","6.3.6.2","12.2","C","","","1"
"2019","New Brunswick","2016A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132711","6.3.6.2","10.5","D","","","1"
"2020","New Brunswick","2016A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132711","6.3.6.2","9.0","C","","","1"
"2021","New Brunswick","2016A000213","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132711","6.3.6.2","7.0","D","","","1"
"2015","New Brunswick","2016A000213","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132714","6.4.6.2","11.2","D","","","1"
"2016","New Brunswick","2016A000213","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132714","6.4.6.2","10.0","D","","","1"
"2017","New Brunswick","2016A000213","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132714","6.4.6.2","6.6","D","","","1"
"2018","New Brunswick","2016A000213","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132714","6.4.6.2","5.9","D","","","1"
"2019","New Brunswick","2016A000213","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132714","6.4.6.2","6.1","D","","","1"
"2020","New Brunswick","2016A000213","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132714","6.4.6.2","5.1","D","","","1"
"2021","New Brunswick","2016A000213","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132714","6.4.6.2","5.6","D","","","1"
"2015","New Brunswick","2016A000213","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132741","6.13.6.2","12.2","D","","","1"
"2016","New Brunswick","2016A000213","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132741","6.13.6.2","9.6","D","","","1"
"2017","New Brunswick","2016A000213","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132741","6.13.6.2","9.3","C","","","1"
"2018","New Brunswick","2016A000213","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132741","6.13.6.2","6.7","D","","","1"
"2019","New Brunswick","2016A000213","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132741","6.13.6.2","6.6","D","","","1"
"2020","New Brunswick","2016A000213","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132741","6.13.6.2","4.4","D","","","1"
"2021","New Brunswick","2016A000213","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132741","6.13.6.2","3.7","D","","","1"
"2015","New Brunswick","2016A000213","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132750","6.16.6.2","6.2","E","","","1"
"2016","New Brunswick","2016A000213","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132750","6.16.6.2","3.9","E","","","1"
"2017","New Brunswick","2016A000213","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132750","6.16.6.2","3.3","E","","","1"
"2018","New Brunswick","2016A000213","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132750","6.16.6.2","2.1","E","","","1"
"2019","New Brunswick","2016A000213","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132750","6.16.6.2","","F","","","1"
"2020","New Brunswick","2016A000213","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132750","6.16.6.2","","F","","","1"
"2021","New Brunswick","2016A000213","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132750","6.16.6.2","","F","","","1"
"2015","New Brunswick","2016A000213","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132759","6.19.6.2","19.9","E","","","1"
"2016","New Brunswick","2016A000213","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132759","6.19.6.2","16.4","D","","","1"
"2017","New Brunswick","2016A000213","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132759","6.19.6.2","15.0","D","","","1"
"2018","New Brunswick","2016A000213","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132759","6.19.6.2","11.6","D","","","1"
"2019","New Brunswick","2016A000213","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132759","6.19.6.2","11.2","E","","","1"
"2020","New Brunswick","2016A000213","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132759","6.19.6.2","5.8","E","","","1"
"2021","New Brunswick","2016A000213","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132759","6.19.6.2","6.9","E","","","1"
"2015","New Brunswick","2016A000213","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132762","6.20.6.2","14.6","E","","","1"
"2016","New Brunswick","2016A000213","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132762","6.20.6.2","11.9","E","","","1"
"2017","New Brunswick","2016A000213","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132762","6.20.6.2","7.1","E","","","1"
"2018","New Brunswick","2016A000213","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132762","6.20.6.2","5.9","E","","","1"
"2019","New Brunswick","2016A000213","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132762","6.20.6.2","","F","","","1"
"2020","New Brunswick","2016A000213","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132762","6.20.6.2","3.0","E","","","1"
"2021","New Brunswick","2016A000213","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132762","6.20.6.2","","F","","","1"
"2015","New Brunswick","2016A000213","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132765","6.21.6.2","48.5","E","","","1"
"2016","New Brunswick","2016A000213","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132765","6.21.6.2","42.3","E","","","1"
"2017","New Brunswick","2016A000213","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132765","6.21.6.2","52.9","D","","","1"
"2018","New Brunswick","2016A000213","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132765","6.21.6.2","36.0","E","","","1"
"2019","New Brunswick","2016A000213","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132765","6.21.6.2","29.8","E","","","1"
"2020","New Brunswick","2016A000213","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132765","6.21.6.2","","F","","","1"
"2021","New Brunswick","2016A000213","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132765","6.21.6.2","31.3","E","","","1"
"2015","New Brunswick","2016A000213","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132780","6.26.6.2","36.7","C","","","1"
"2016","New Brunswick","2016A000213","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132780","6.26.6.2","35.3","C","","","1"
"2017","New Brunswick","2016A000213","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132780","6.26.6.2","28.8","C","","","1"
"2018","New Brunswick","2016A000213","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132780","6.26.6.2","30.5","C","","","1"
"2019","New Brunswick","2016A000213","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132780","6.26.6.2","25.4","D","","","1"
"2020","New Brunswick","2016A000213","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132780","6.26.6.2","22.6","C","","","1"
"2021","New Brunswick","2016A000213","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132780","6.26.6.2","20.7","D","","","1"
"2015","New Brunswick","2016A000213","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132789","6.29.6.2","25.7","D","","","1"
"2016","New Brunswick","2016A000213","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132789","6.29.6.2","25.1","D","","","1"
"2017","New Brunswick","2016A000213","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132789","6.29.6.2","14.6","D","","","1"
"2018","New Brunswick","2016A000213","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132789","6.29.6.2","14.9","D","","","1"
"2019","New Brunswick","2016A000213","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132789","6.29.6.2","16.3","D","","","1"
"2020","New Brunswick","2016A000213","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132789","6.29.6.2","15.2","D","","","1"
"2021","New Brunswick","2016A000213","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132789","6.29.6.2","16.9","D","","","1"
"2015","New Brunswick","2016A000213","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132798","6.32.6.2","41.6","D","","","1"
"2016","New Brunswick","2016A000213","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132798","6.32.6.2","40.4","C","","","1"
"2017","New Brunswick","2016A000213","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132798","6.32.6.2","36.4","C","","","1"
"2018","New Brunswick","2016A000213","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132798","6.32.6.2","39.0","C","","","1"
"2019","New Brunswick","2016A000213","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132798","6.32.6.2","31.4","D","","","1"
"2020","New Brunswick","2016A000213","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132798","6.32.6.2","27.1","C","","","1"
"2021","New Brunswick","2016A000213","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132798","6.32.6.2","23.1","D","","","1"
"2015","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","13.5","C","","","1"
"2016","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","11.0","C","","","1"
"2017","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","10.9","C","","","1"
"2018","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","9.8","C","","","1"
"2019","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","8.9","C","","","1"
"2020","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","4.8","C","","","1"
"2021","Quebec","2016A000224","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132807","7.1.6.2","5.2","C","","","1"
"2015","Quebec","2016A000224","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132810","7.2.6.2","13.9","D","","","1"
"2016","Quebec","2016A000224","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132810","7.2.6.2","10.9","D","","","1"
"2017","Quebec","2016A000224","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132810","7.2.6.2","10.4","D","","","1"
"2018","Quebec","2016A000224","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132810","7.2.6.2","7.6","D","","","1"
"2019","Quebec","2016A000224","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132810","7.2.6.2","6.3","E","","","1"
"2020","Quebec","2016A000224","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132810","7.2.6.2","2.3","E","","","1"
"2021","Quebec","2016A000224","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132810","7.2.6.2","3.0","E","","","1"
"2015","Quebec","2016A000224","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132813","7.3.6.2","15.3","C","","","1"
"2016","Quebec","2016A000224","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132813","7.3.6.2","12.0","C","","","1"
"2017","Quebec","2016A000224","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132813","7.3.6.2","12.5","B","","","1"
"2018","Quebec","2016A000224","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132813","7.3.6.2","11.8","C","","","1"
"2019","Quebec","2016A000224","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132813","7.3.6.2","10.8","C","","","1"
"2020","Quebec","2016A000224","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132813","7.3.6.2","6.4","C","","","1"
"2021","Quebec","2016A000224","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132813","7.3.6.2","6.0","C","","","1"
"2015","Quebec","2016A000224","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132816","7.4.6.2","6.8","D","","","1"
"2016","Quebec","2016A000224","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132816","7.4.6.2","7.3","D","","","1"
"2017","Quebec","2016A000224","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132816","7.4.6.2","6.0","D","","","1"
"2018","Quebec","2016A000224","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132816","7.4.6.2","5.7","D","","","1"
"2019","Quebec","2016A000224","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132816","7.4.6.2","5.4","D","","","1"
"2020","Quebec","2016A000224","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132816","7.4.6.2","2.3","D","","","1"
"2021","Quebec","2016A000224","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132816","7.4.6.2","4.9","D","","","1"
"2015","Quebec","2016A000224","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132843","7.13.6.2","9.8","D","","","1"
"2016","Quebec","2016A000224","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132843","7.13.6.2","7.2","D","","","1"
"2017","Quebec","2016A000224","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132843","7.13.6.2","7.6","C","","","1"
"2018","Quebec","2016A000224","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132843","7.13.6.2","6.2","D","","","1"
"2019","Quebec","2016A000224","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132843","7.13.6.2","5.2","D","","","1"
"2020","Quebec","2016A000224","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132843","7.13.6.2","1.9","D","","","1"
"2021","Quebec","2016A000224","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132843","7.13.6.2","2.4","D","","","1"
"2015","Quebec","2016A000224","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132852","7.16.6.2","2.7","E","","","1"
"2016","Quebec","2016A000224","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132852","7.16.6.2","3.1","E","","","1"
"2017","Quebec","2016A000224","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132852","7.16.6.2","3.1","E","","","1"
"2018","Quebec","2016A000224","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132852","7.16.6.2","2.0","E","","","1"
"2019","Quebec","2016A000224","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132852","7.16.6.2","","F","","","1"
"2020","Quebec","2016A000224","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132852","7.16.6.2","","F","","","1"
"2021","Quebec","2016A000224","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132852","7.16.6.2","2.0","E","","","1"
"2015","Quebec","2016A000224","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132861","7.19.6.2","13.9","D","","","1"
"2016","Quebec","2016A000224","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132861","7.19.6.2","10.6","D","","","1"
"2017","Quebec","2016A000224","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132861","7.19.6.2","10.3","D","","","1"
"2018","Quebec","2016A000224","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132861","7.19.6.2","7.5","D","","","1"
"2019","Quebec","2016A000224","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132861","7.19.6.2","6.2","E","","","1"
"2020","Quebec","2016A000224","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132861","7.19.6.2","2.3","E","","","1"
"2021","Quebec","2016A000224","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132861","7.19.6.2","2.9","E","","","1"
"2015","Quebec","2016A000224","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132864","7.20.6.2","11.3","E","","","1"
"2016","Quebec","2016A000224","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132864","7.20.6.2","7.7","E","","","1"
"2017","Quebec","2016A000224","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132864","7.20.6.2","8.0","D","","","1"
"2018","Quebec","2016A000224","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132864","7.20.6.2","6.4","E","","","1"
"2019","Quebec","2016A000224","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132864","7.20.6.2","4.8","E","","","1"
"2020","Quebec","2016A000224","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132864","7.20.6.2","","F","","","1"
"2021","Quebec","2016A000224","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132864","7.20.6.2","1.7","E","","","1"
"2015","Quebec","2016A000224","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132867","7.21.6.2","31.5","E","","","1"
"2016","Quebec","2016A000224","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132867","7.21.6.2","29.4","E","","","1"
"2017","Quebec","2016A000224","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132867","7.21.6.2","26.9","D","","","1"
"2018","Quebec","2016A000224","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132867","7.21.6.2","17.6","E","","","1"
